Start (s),End (s),Scientific name,Common name,Confidence,File
495.0,498.0,Scolopax rusticola,Eurasian Woodcock,0.2247,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240610_040000.WAV
552.0,555.0,Emberiza hortulana,Ortolan Bunting,0.1354,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240610_040000.WAV
0,3.0,Setophaga striata,Blackpoll Warbler,0.1452,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240610_060000.WAV
12.0,15.0,Regulus regulus,Goldcrest,0.2871,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240610_060000.WAV
15.0,18.0,Phylloscopus trochiloides,Greenish Warbler,0.5540,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240610_060000.WAV
15.0,18.0,Regulus regulus,Goldcrest,0.1974,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240610_060000.WAV
15.0,18.0,Phylloscopus nitidus,Green Warbler,0.1335,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240610_060000.WAV
27.0,30.0,Phylloscopus trochiloides,Greenish Warbler,0.2094,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240610_060000.WAV
36.0,39.0,Periparus ater,Coal Tit,0.3248,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240610_060000.WAV
36.0,39.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1096,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240610_060000.WAV
39.0,42.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1387,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240610_060000.WAV
39.0,42.0,Phylloscopus plumbeitarsus,Two-barred Warbler,0.1160,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240610_060000.WAV
54.0,57.0,Machlolophus xanthogenys,Himalayan Black-lored Tit,0.1170,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240610_060000.WAV
72.0,75.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1781,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240610_060000.WAV
72.0,75.0,Phylloscopus trochiloides,Greenish Warbler,0.1056,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240610_060000.WAV
