Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1669,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
0,3.0,Larvivora brunnea,Indian Blue Robin,0.1500,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
3.0,6.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1907,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
3.0,6.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1846,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
6.0,9.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.3003,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
6.0,9.0,Larvivora brunnea,Indian Blue Robin,0.1228,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
6.0,9.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1140,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
9.0,12.0,Phylloscopus occipitalis,Western Crowned Warbler,0.4738,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
9.0,12.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1777,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
12.0,15.0,Phylloscopus occipitalis,Western Crowned Warbler,0.2051,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
12.0,15.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1589,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
12.0,15.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1067,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
15.0,18.0,Phylloscopus occipitalis,Western Crowned Warbler,0.4423,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
15.0,18.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1086,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
18.0,21.0,Phylloscopus occipitalis,Western Crowned Warbler,0.3579,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
21.0,24.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1848,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
21.0,24.0,Larvivora brunnea,Indian Blue Robin,0.1588,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
24.0,27.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1871,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
30.0,33.0,Larvivora brunnea,Indian Blue Robin,0.1841,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
30.0,33.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1625,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
30.0,33.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1073,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
30.0,33.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1003,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
33.0,36.0,Phylloscopus occipitalis,Western Crowned Warbler,0.2178,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
33.0,36.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1831,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
33.0,36.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1062,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
36.0,39.0,Phylloscopus occipitalis,Western Crowned Warbler,0.2587,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
36.0,39.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1610,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
39.0,42.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1639,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
42.0,45.0,Phylloscopus occipitalis,Western Crowned Warbler,0.4067,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
42.0,45.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1481,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
45.0,48.0,Phylloscopus occipitalis,Western Crowned Warbler,0.3222,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
48.0,51.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1430,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
48.0,51.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1103,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
51.0,54.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5857,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
54.0,57.0,Phylloscopus occipitalis,Western Crowned Warbler,0.3068,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
54.0,57.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1595,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
57.0,60.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1150,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
60.0,63.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1807,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
63.0,66.0,Phylloscopus occipitalis,Western Crowned Warbler,0.6182,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
63.0,66.0,Ficedula ruficauda,Rusty-tailed Flycatcher,0.1107,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
66.0,69.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1954,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
66.0,69.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1053,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
69.0,72.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5432,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
69.0,72.0,Ficedula ruficauda,Rusty-tailed Flycatcher,0.2027,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
69.0,72.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1435,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
72.0,75.0,Phylloscopus occipitalis,Western Crowned Warbler,0.3582,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
72.0,75.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1262,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240529_050000.WAV
