Start (s),End (s),Scientific name,Common name,Confidence,File
21.0,24.0,Engine,Engine,0.1028,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_040000.WAV
0,3.0,Trochalopteron variegatum,Variegated Laughingthrush,0.7465,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
3.0,6.0,Zosterops japonicus,Warbling White-eye,0.1154,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
6.0,9.0,Trochalopteron variegatum,Variegated Laughingthrush,0.5854,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.2936,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
6.0,9.0,Tarsiger rufilatus,Himalayan Bluetail,0.1539,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
9.0,12.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9282,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
12.0,15.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1034,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
15.0,18.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9712,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
15.0,18.0,Trochalopteron virgatum,Striped Laughingthrush,0.1152,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
21.0,24.0,Trochalopteron variegatum,Variegated Laughingthrush,0.8984,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
21.0,24.0,Trochalopteron virgatum,Striped Laughingthrush,0.1495,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
24.0,27.0,Trochalopteron affine,Black-faced Laughingthrush,0.1109,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
27.0,30.0,Tarsiger rufilatus,Himalayan Bluetail,0.4095,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
27.0,30.0,Tarsiger indicus,White-browed Bush-Robin,0.1835,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.1187,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
30.0,33.0,Trochalopteron variegatum,Variegated Laughingthrush,0.8610,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
33.0,36.0,Trochalopteron variegatum,Variegated Laughingthrush,0.1502,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
36.0,39.0,Trochalopteron affine,Black-faced Laughingthrush,0.1727,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
39.0,42.0,Trochalopteron variegatum,Variegated Laughingthrush,0.8652,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
