Start (s),End (s),Scientific name,Common name,Confidence,ID,Year,Month,Day,Time
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.6411,psh10,2024,6,4,6
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.8799,psh10,2024,6,4,6
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.5355,psh10,2024,6,4,6
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.5084,psh10,2024,6,4,6
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.8052,psh10,2024,6,4,6
39.0,42.0,Phylloscopus humei,Hume's Warbler,0.8985,psh10,2024,6,4,6
54.0,57.0,Phylloscopus humei,Hume's Warbler,0.7435,psh10,2024,6,4,6
60.0,63.0,Phylloscopus humei,Hume's Warbler,0.8016,psh10,2024,6,4,6
69.0,72.0,Phylloscopus humei,Hume's Warbler,0.8453,psh10,2024,6,4,6
75.0,78.0,Phylloscopus humei,Hume's Warbler,0.9367,psh10,2024,6,4,6
87.0,90.0,Phylloscopus humei,Hume's Warbler,0.7648,psh10,2024,6,4,6
93.0,96.0,Phylloscopus humei,Hume's Warbler,0.8793,psh10,2024,6,4,6
99.0,102.0,Phylloscopus humei,Hume's Warbler,0.7493,psh10,2024,6,4,6
108.0,111.0,Phylloscopus humei,Hume's Warbler,0.6158,psh10,2024,6,4,6
123.0,126.0,Phylloscopus humei,Hume's Warbler,0.7587,psh10,2024,6,4,6
129.0,132.0,Phylloscopus humei,Hume's Warbler,0.7279,psh10,2024,6,4,6
135.0,138.0,Phylloscopus humei,Hume's Warbler,0.9403,psh10,2024,6,4,6
141.0,144.0,Phylloscopus nitidus,Green Warbler,0.8614,psh10,2024,6,4,6
141.0,144.0,Phylloscopus trochiloides,Greenish Warbler,0.5751,psh10,2024,6,4,6
147.0,150.0,Phylloscopus humei,Hume's Warbler,0.6851,psh10,2024,6,4,6
153.0,156.0,Phylloscopus humei,Hume's Warbler,0.887,psh10,2024,6,4,6
159.0,162.0,Phylloscopus humei,Hume's Warbler,0.9335,psh10,2024,6,4,6
165.0,168.0,Phylloscopus humei,Hume's Warbler,0.8952,psh10,2024,6,4,6
174.0,177.0,Phylloscopus humei,Hume's Warbler,0.7286,psh10,2024,6,4,6
180.0,183.0,Phylloscopus humei,Hume's Warbler,0.7631,psh10,2024,6,4,6
201.0,204.0,Phylloscopus humei,Hume's Warbler,0.7101,psh10,2024,6,4,6
204.0,207.0,Vermivora chrysoptera,Golden-winged Warbler,0.5088,psh10,2024,6,4,6
207.0,210.0,Phylloscopus humei,Hume's Warbler,0.5985,psh10,2024,6,4,6
213.0,216.0,Phylloscopus humei,Hume's Warbler,0.8448,psh10,2024,6,4,6
219.0,222.0,Phylloscopus humei,Hume's Warbler,0.9258,psh10,2024,6,4,6
225.0,228.0,Phylloscopus humei,Hume's Warbler,0.8557,psh10,2024,6,4,6
231.0,234.0,Phylloscopus humei,Hume's Warbler,0.8494,psh10,2024,6,4,6
240.0,243.0,Phylloscopus humei,Hume's Warbler,0.8378,psh10,2024,6,4,6
255.0,258.0,Phylloscopus humei,Hume's Warbler,0.8612,psh10,2024,6,4,6
258.0,261.0,Phylloscopus nitidus,Green Warbler,0.8942,psh10,2024,6,4,6
261.0,264.0,Phylloscopus humei,Hume's Warbler,0.7196,psh10,2024,6,4,6
267.0,270.0,Phylloscopus humei,Hume's Warbler,0.6048,psh10,2024,6,4,6
273.0,276.0,Phylloscopus humei,Hume's Warbler,0.9764,psh10,2024,6,4,6
282.0,285.0,Phylloscopus humei,Hume's Warbler,0.7243,psh10,2024,6,4,6
285.0,288.0,Phylloscopus nitidus,Green Warbler,0.5087,psh10,2024,6,4,6
288.0,291.0,Phylloscopus humei,Hume's Warbler,0.9728,psh10,2024,6,4,6
291.0,294.0,Phylloscopus trochiloides,Greenish Warbler,0.6386,psh10,2024,6,4,6
297.0,300.0,Phylloscopus humei,Hume's Warbler,0.7926,psh10,2024,6,4,6
300.0,303.0,Phylloscopus humei,Hume's Warbler,0.7495,psh10,2024,6,4,6
300.0,303.0,Turdus iliacus,Redwing,0.7381,psh10,2024,6,4,6
306.0,309.0,Phylloscopus humei,Hume's Warbler,0.9188,psh10,2024,6,4,6
321.0,324.0,Phylloscopus humei,Hume's Warbler,0.7745,psh10,2024,6,4,6
330.0,333.0,Phylloscopus humei,Hume's Warbler,0.9904,psh10,2024,6,4,6
342.0,345.0,Phylloscopus humei,Hume's Warbler,0.622,psh10,2024,6,4,6
351.0,354.0,Phylloscopus humei,Hume's Warbler,0.9354,psh10,2024,6,4,6
351.0,354.0,Tarsiger rufilatus,Himalayan Bluetail,0.6205,psh10,2024,6,4,6
357.0,360.0,Phylloscopus humei,Hume's Warbler,0.9889,psh10,2024,6,4,6
357.0,360.0,Tarsiger rufilatus,Himalayan Bluetail,0.7929,psh10,2024,6,4,6
366.0,369.0,Tarsiger rufilatus,Himalayan Bluetail,0.5954,psh10,2024,6,4,6
369.0,372.0,Tarsiger rufilatus,Himalayan Bluetail,0.6656,psh10,2024,6,4,6
372.0,375.0,Phylloscopus nitidus,Green Warbler,0.7121,psh10,2024,6,4,6
378.0,381.0,Tarsiger rufilatus,Himalayan Bluetail,0.8935,psh10,2024,6,4,6
378.0,381.0,Phylloscopus humei,Hume's Warbler,0.6104,psh10,2024,6,4,6
384.0,387.0,Tarsiger rufilatus,Himalayan Bluetail,0.575,psh10,2024,6,4,6
387.0,390.0,Tarsiger rufilatus,Himalayan Bluetail,0.9281,psh10,2024,6,4,6
390.0,393.0,Tarsiger rufilatus,Himalayan Bluetail,0.5907,psh10,2024,6,4,6
396.0,399.0,Tarsiger rufilatus,Himalayan Bluetail,0.6099,psh10,2024,6,4,6
399.0,402.0,Tarsiger rufilatus,Himalayan Bluetail,0.5124,psh10,2024,6,4,6
411.0,414.0,Tarsiger rufilatus,Himalayan Bluetail,0.8589,psh10,2024,6,4,6
414.0,417.0,Tarsiger rufilatus,Himalayan Bluetail,0.9378,psh10,2024,6,4,6
414.0,417.0,Phylloscopus pulcher,Buff-barred Warbler,0.8451,psh10,2024,6,4,6
432.0,435.0,Tarsiger rufilatus,Himalayan Bluetail,0.6196,psh10,2024,6,4,6
453.0,456.0,Phylloscopus nitidus,Green Warbler,0.632,psh10,2024,6,4,6
456.0,459.0,Tarsiger rufilatus,Himalayan Bluetail,0.9689,psh10,2024,6,4,6
465.0,468.0,Tarsiger rufilatus,Himalayan Bluetail,0.6966,psh10,2024,6,4,6
465.0,468.0,Phylloscopus humei,Hume's Warbler,0.5305,psh10,2024,6,4,6
468.0,471.0,Tarsiger rufilatus,Himalayan Bluetail,0.6456,psh10,2024,6,4,6
471.0,474.0,Tarsiger rufilatus,Himalayan Bluetail,0.7899,psh10,2024,6,4,6
471.0,474.0,Phylloscopus humei,Hume's Warbler,0.692,psh10,2024,6,4,6
480.0,483.0,Phylloscopus humei,Hume's Warbler,0.6864,psh10,2024,6,4,6
486.0,489.0,Phylloscopus humei,Hume's Warbler,0.9941,psh10,2024,6,4,6
486.0,489.0,Tarsiger rufilatus,Himalayan Bluetail,0.9839,psh10,2024,6,4,6
492.0,495.0,Tarsiger rufilatus,Himalayan Bluetail,0.5289,psh10,2024,6,4,6
501.0,504.0,Tarsiger rufilatus,Himalayan Bluetail,0.7441,psh10,2024,6,4,6
507.0,510.0,Phylloscopus humei,Hume's Warbler,0.9238,psh10,2024,6,4,6
513.0,516.0,Phylloscopus humei,Hume's Warbler,0.5305,psh10,2024,6,4,6
516.0,519.0,Trochalopteron variegatum,Variegated Laughingthrush,0.7235,psh10,2024,6,4,6
525.0,528.0,Trochalopteron variegatum,Variegated Laughingthrush,0.7039,psh10,2024,6,4,6
534.0,537.0,Phylloscopus humei,Hume's Warbler,0.8042,psh10,2024,6,4,6
540.0,543.0,Trochalopteron variegatum,Variegated Laughingthrush,0.6423,psh10,2024,6,4,6
543.0,546.0,Phylloscopus humei,Hume's Warbler,0.8678,psh10,2024,6,4,6
546.0,549.0,Phylloscopus humei,Hume's Warbler,0.8301,psh10,2024,6,4,6
549.0,552.0,Phylloscopus humei,Hume's Warbler,0.6343,psh10,2024,6,4,6
558.0,561.0,Phylloscopus humei,Hume's Warbler,0.9531,psh10,2024,6,4,6
561.0,564.0,Trochalopteron variegatum,Variegated Laughingthrush,0.7414,psh10,2024,6,4,6
564.0,567.0,Phylloscopus humei,Hume's Warbler,0.5091,psh10,2024,6,4,6
570.0,573.0,Trochalopteron variegatum,Variegated Laughingthrush,0.7376,psh10,2024,6,4,6
573.0,576.0,Phylloscopus humei,Hume's Warbler,0.7782,psh10,2024,6,4,6
582.0,585.0,Phylloscopus humei,Hume's Warbler,0.845,psh10,2024,6,4,6
597.0,600.0,Phylloscopus humei,Hume's Warbler,0.9849,psh10,2024,6,4,6
606.0,609.0,Phylloscopus humei,Hume's Warbler,0.9952,psh10,2024,6,4,6
612.0,615.0,Phylloscopus humei,Hume's Warbler,0.765,psh10,2024,6,4,6
615.0,618.0,Phylloscopus humei,Hume's Warbler,0.9952,psh10,2024,6,4,6
621.0,624.0,Phylloscopus humei,Hume's Warbler,0.9161,psh10,2024,6,4,6
627.0,630.0,Phylloscopus humei,Hume's Warbler,0.8474,psh10,2024,6,4,6
636.0,639.0,Phylloscopus humei,Hume's Warbler,0.7299,psh10,2024,6,4,6
636.0,639.0,Phylloscopus trochiloides,Greenish Warbler,0.5938,psh10,2024,6,4,6
639.0,642.0,Phylloscopus nitidus,Green Warbler,0.6921,psh10,2024,6,4,6
642.0,645.0,Phylloscopus humei,Hume's Warbler,0.9005,psh10,2024,6,4,6
648.0,651.0,Phylloscopus humei,Hume's Warbler,0.9274,psh10,2024,6,4,6
663.0,666.0,Phylloscopus humei,Hume's Warbler,0.9771,psh10,2024,6,4,6
672.0,675.0,Phylloscopus humei,Hume's Warbler,0.9814,psh10,2024,6,4,6
681.0,684.0,Phylloscopus humei,Hume's Warbler,0.9886,psh10,2024,6,4,6
687.0,690.0,Phylloscopus nitidus,Green Warbler,0.718,psh10,2024,6,4,6
690.0,693.0,Phylloscopus humei,Hume's Warbler,0.9933,psh10,2024,6,4,6
699.0,702.0,Phylloscopus humei,Hume's Warbler,0.9949,psh10,2024,6,4,6
705.0,708.0,Phylloscopus humei,Hume's Warbler,0.9853,psh10,2024,6,4,6
711.0,714.0,Phylloscopus humei,Hume's Warbler,0.9133,psh10,2024,6,4,6
720.0,723.0,Phylloscopus humei,Hume's Warbler,0.9937,psh10,2024,6,4,6
729.0,732.0,Phylloscopus humei,Hume's Warbler,0.9932,psh10,2024,6,4,6
738.0,741.0,Phylloscopus humei,Hume's Warbler,0.974,psh10,2024,6,4,6
744.0,747.0,Phylloscopus humei,Hume's Warbler,0.9949,psh10,2024,6,4,6
753.0,756.0,Phylloscopus humei,Hume's Warbler,0.9987,psh10,2024,6,4,6
765.0,768.0,Phylloscopus humei,Hume's Warbler,0.9921,psh10,2024,6,4,6
774.0,777.0,Phylloscopus humei,Hume's Warbler,0.8015,psh10,2024,6,4,6
786.0,789.0,Phylloscopus humei,Hume's Warbler,0.9449,psh10,2024,6,4,6
792.0,795.0,Trochalopteron variegatum,Variegated Laughingthrush,0.6272,psh10,2024,6,4,6
