Start (s),End (s),Scientific name,Common name,Confidence,File
15.0,18.0,Phylloscopus trochiloides,Greenish Warbler,0.5540,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
312.0,315.0,Phylloscopus humei,Hume's Warbler,0.8623,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
345.0,348.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.7737,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
357.0,360.0,Phylloscopus trochiloides,Greenish Warbler,0.7724,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
432.0,435.0,Phylloscopus humei,Hume's Warbler,0.7750,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
468.0,471.0,Phylloscopus humei,Hume's Warbler,0.8423,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
480.0,483.0,Phylloscopus humei,Hume's Warbler,0.7335,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
624.0,627.0,Phylloscopus humei,Hume's Warbler,0.8691,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
633.0,636.0,Phylloscopus humei,Hume's Warbler,0.7552,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
645.0,648.0,Phylloscopus humei,Hume's Warbler,0.7167,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
663.0,666.0,Phylloscopus humei,Hume's Warbler,0.6769,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
690.0,693.0,Phylloscopus humei,Hume's Warbler,0.8806,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
696.0,699.0,Phylloscopus humei,Hume's Warbler,0.9746,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
705.0,708.0,Phylloscopus humei,Hume's Warbler,0.5765,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
708.0,711.0,Phylloscopus humei,Hume's Warbler,0.8020,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
711.0,714.0,Phylloscopus humei,Hume's Warbler,0.7651,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
720.0,723.0,Phylloscopus humei,Hume's Warbler,0.5336,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
726.0,729.0,Phylloscopus humei,Hume's Warbler,0.8860,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
744.0,747.0,Phylloscopus trochiloides,Greenish Warbler,0.7950,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
750.0,753.0,Phylloscopus humei,Hume's Warbler,0.9978,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
762.0,765.0,Phylloscopus humei,Hume's Warbler,0.7123,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
816.0,819.0,Phylloscopus occipitalis,Western Crowned Warbler,0.9126,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
843.0,846.0,Phylloscopus humei,Hume's Warbler,0.5982,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
864.0,867.0,Phylloscopus occipitalis,Western Crowned Warbler,0.8352,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
879.0,882.0,Phylloscopus occipitalis,Western Crowned Warbler,0.6045,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_060000.WAV
0,3.0,Phylloscopus humei,Hume's Warbler,0.7960,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.7716,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9768,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.9204,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
36.0,39.0,Phylloscopus humei,Hume's Warbler,0.9393,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
60.0,63.0,Phylloscopus trochiloides,Greenish Warbler,0.7445,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
75.0,78.0,Phylloscopus trochiloides,Greenish Warbler,0.6168,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
93.0,96.0,Trochalopteron variegatum,Variegated Laughingthrush,0.5360,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
120.0,123.0,Phylloscopus trochiloides,Greenish Warbler,0.8759,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
138.0,141.0,Phylloscopus humei,Hume's Warbler,0.9455,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
141.0,144.0,Phylloscopus humei,Hume's Warbler,0.9307,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
144.0,147.0,Phylloscopus humei,Hume's Warbler,0.8725,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
147.0,150.0,Phylloscopus humei,Hume's Warbler,0.9848,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
153.0,156.0,Phylloscopus humei,Hume's Warbler,0.8508,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
159.0,162.0,Phylloscopus humei,Hume's Warbler,0.9214,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
165.0,168.0,Phylloscopus humei,Hume's Warbler,0.8801,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
171.0,174.0,Phylloscopus humei,Hume's Warbler,0.9372,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
180.0,183.0,Phylloscopus humei,Hume's Warbler,0.7533,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
183.0,186.0,Phylloscopus humei,Hume's Warbler,0.7005,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
192.0,195.0,Phylloscopus humei,Hume's Warbler,0.7639,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240610_070001.WAV
