Start (s),End (s),Scientific name,Common name,Confidence,File
51.0,54.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5857,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240529_050000.WAV
63.0,66.0,Phylloscopus occipitalis,Western Crowned Warbler,0.6182,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240529_050000.WAV
69.0,72.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5432,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240529_050000.WAV
114.0,117.0,Phylloscopus occipitalis,Western Crowned Warbler,0.6675,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240529_050000.WAV
117.0,120.0,Phylloscopus occipitalis,Western Crowned Warbler,0.6565,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240529_050000.WAV
345.0,348.0,Phylloscopus occipitalis,Western Crowned Warbler,0.6617,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240529_050000.WAV
351.0,354.0,Phylloscopus occipitalis,Western Crowned Warbler,0.6300,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240529_050000.WAV
363.0,366.0,Phylloscopus occipitalis,Western Crowned Warbler,0.6710,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240529_050000.WAV
417.0,420.0,Phylloscopus humei,Hume's Warbler,0.5169,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240529_050000.WAV
438.0,441.0,Phylloscopus humei,Hume's Warbler,0.6702,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240529_050000.WAV
600.0,603.0,Phylloscopus occipitalis,Western Crowned Warbler,0.7188,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240529_050000.WAV
729.0,732.0,Phylloscopus humei,Hume's Warbler,0.6467,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240529_050000.WAV
741.0,744.0,Myiothlypis luteoviridis,Citrine Warbler,0.7700,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240529_050000.WAV
753.0,756.0,Phylloscopus occipitalis,Western Crowned Warbler,0.7040,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240529_050000.WAV
768.0,771.0,Phylloscopus humei,Hume's Warbler,0.8999,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240529_050000.WAV
780.0,783.0,Phylloscopus occipitalis,Western Crowned Warbler,0.7701,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240529_050000.WAV
801.0,804.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.5158,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240529_050000.WAV
813.0,816.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.7365,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240529_050000.WAV
