Start (s),End (s),Scientific name,Common name,Confidence,ID,Year,Month,Day,Time
0.0,3.0,Carpodacus erythrinus,Common Rosefinch,0.8679,psl5,2024,05,12,08
48.0,51.0,Protonotaria citrea,Prothonotary Warbler,0.602,psl5,2024,05,12,08
102.0,105.0,Phylloscopus sindianus,Mountain Chiffchaff,0.5666,psl5,2024,05,12,08
174.0,177.0,Carpodacus erythrinus,Common Rosefinch,0.6269,psl5,2024,05,12,08
267.0,270.0,Phylloscopus occipitalis,Western Crowned Warbler,0.7874,psl5,2024,05,12,08
312.0,315.0,Carpodacus erythrinus,Common Rosefinch,0.5686,psl5,2024,05,12,08
405.0,408.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5198,psl5,2024,05,12,08
408.0,411.0,Phylloscopus humei,Hume's Warbler,0.6724,psl5,2024,05,12,08
612.0,615.0,Tarsiger rufilatus,Himalayan Bluetail,0.567,psl5,2024,05,12,08
666.0,669.0,Periparus ater,Coal Tit,0.6298,psl5,2024,05,12,08
768.0,771.0,Anthus rubescens,American Pipit,0.5144,psl5,2024,05,12,08
795.0,798.0,Uromyias agilis,Agile Tit-Tyrant,0.6197,psl5,2024,05,12,08
30.0,33.0,Phylloscopus humei,Hume's Warbler,0.9603,psl5,2024,05,12,09
39.0,42.0,Phylloscopus humei,Hume's Warbler,0.8827,psl5,2024,05,12,09
48.0,51.0,Phylloscopus humei,Hume's Warbler,0.663,psl5,2024,05,12,09
57.0,60.0,Phylloscopus humei,Hume's Warbler,0.735,psl5,2024,05,12,09
78.0,81.0,Phylloscopus humei,Hume's Warbler,0.6103,psl5,2024,05,12,09
87.0,90.0,Phylloscopus humei,Hume's Warbler,0.6179,psl5,2024,05,12,09
96.0,99.0,Phylloscopus humei,Hume's Warbler,0.5868,psl5,2024,05,12,09
117.0,120.0,Phylloscopus humei,Hume's Warbler,0.542,psl5,2024,05,12,09
453.0,456.0,Trochalopteron variegatum,Variegated Laughingthrush,0.6211,psl5,2024,05,12,09
507.0,510.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5647,psl5,2024,05,12,09
537.0,540.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9639,psl5,2024,05,12,09
558.0,561.0,Trochalopteron variegatum,Variegated Laughingthrush,0.6024,psl5,2024,05,12,09
579.0,582.0,Trochalopteron variegatum,Variegated Laughingthrush,0.886,psl5,2024,05,12,09
771.0,774.0,Trochalopteron variegatum,Variegated Laughingthrush,0.8203,psl5,2024,05,12,09
774.0,777.0,Trochalopteron variegatum,Variegated Laughingthrush,0.7626,psl5,2024,05,12,09
849.0,852.0,Trochalopteron variegatum,Variegated Laughingthrush,0.941,psl5,2024,05,12,09
852.0,855.0,Trochalopteron variegatum,Variegated Laughingthrush,0.5359,psl5,2024,05,12,09
