Start (s),End (s),Scientific name,Common name,Confidence,ID,Year,Month,Day,Time
27.0,30.0,Phylloscopus nitidus,Green Warbler,0.658,psm3,2024,05,26,05
123.0,126.0,Phylloscopus nitidus,Green Warbler,0.7968,psm3,2024,05,26,05
135.0,138.0,Prunella strophiata,Rufous-breasted Accentor,0.5565,psm3,2024,05,26,05
141.0,144.0,Phylloscopus nitidus,Green Warbler,0.5049,psm3,2024,05,26,05
144.0,147.0,Phylloscopus nitidus,Green Warbler,0.6959,psm3,2024,05,26,05
195.0,198.0,Phylloscopus trochiloides,Greenish Warbler,0.5179,psm3,2024,05,26,05
207.0,210.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.7701,psm3,2024,05,26,05
222.0,225.0,Phylloscopus nitidus,Green Warbler,0.5855,psm3,2024,05,26,05
243.0,246.0,Phylloscopus humei,Hume's Warbler,0.607,psm3,2024,05,26,05
273.0,276.0,Phylloscopus nitidus,Green Warbler,0.5097,psm3,2024,05,26,05
315.0,318.0,Prunella strophiata,Rufous-breasted Accentor,0.6144,psm3,2024,05,26,05
324.0,327.0,Prunella strophiata,Rufous-breasted Accentor,0.9901,psm3,2024,05,26,05
324.0,327.0,Serinus serinus,European Serin,0.7719,psm3,2024,05,26,05
405.0,408.0,Prunella strophiata,Rufous-breasted Accentor,0.6023,psm3,2024,05,26,05
417.0,420.0,Prunella strophiata,Rufous-breasted Accentor,0.9343,psm3,2024,05,26,05
441.0,444.0,Prunella strophiata,Rufous-breasted Accentor,0.6722,psm3,2024,05,26,05
444.0,447.0,Prunella strophiata,Rufous-breasted Accentor,0.8601,psm3,2024,05,26,05
444.0,447.0,Serinus serinus,European Serin,0.7225,psm3,2024,05,26,05
459.0,462.0,Prunella strophiata,Rufous-breasted Accentor,0.5182,psm3,2024,05,26,05
537.0,540.0,Tarsiger rufilatus,Himalayan Bluetail,0.8823,psm3,2024,05,26,05
639.0,642.0,Phylloscopus humei,Hume's Warbler,0.7022,psm3,2024,05,26,05
660.0,663.0,Phylloscopus humei,Hume's Warbler,0.5452,psm3,2024,05,26,05
666.0,669.0,Tarsiger rufilatus,Himalayan Bluetail,0.8216,psm3,2024,05,26,05
684.0,687.0,Prunella strophiata,Rufous-breasted Accentor,0.6542,psm3,2024,05,26,05
684.0,687.0,Ficedula parva,Red-breasted Flycatcher,0.6399,psm3,2024,05,26,05
723.0,726.0,Diglossa humeralis,Black Flowerpiercer,0.6188,psm3,2024,05,26,05
738.0,741.0,Tarsiger rufilatus,Himalayan Bluetail,0.5684,psm3,2024,05,26,05
771.0,774.0,Phylloscopus humei,Hume's Warbler,0.527,psm3,2024,05,26,05
774.0,777.0,Phylloscopus humei,Hume's Warbler,0.5587,psm3,2024,05,26,05
786.0,789.0,Phylloscopus humei,Hume's Warbler,0.6625,psm3,2024,05,26,05
792.0,795.0,Phylloscopus humei,Hume's Warbler,0.7101,psm3,2024,05,26,05
819.0,822.0,Prunella strophiata,Rufous-breasted Accentor,0.7819,psm3,2024,05,26,05
822.0,825.0,Prunella strophiata,Rufous-breasted Accentor,0.8357,psm3,2024,05,26,05
837.0,840.0,Prunella strophiata,Rufous-breasted Accentor,0.5604,psm3,2024,05,26,05
846.0,849.0,Prunella strophiata,Rufous-breasted Accentor,0.5775,psm3,2024,05,26,05
852.0,855.0,Prunella strophiata,Rufous-breasted Accentor,0.6693,psm3,2024,05,26,05
858.0,861.0,Phylloscopus nitidus,Green Warbler,0.7145,psm3,2024,05,26,05
864.0,867.0,Prunella strophiata,Rufous-breasted Accentor,0.8305,psm3,2024,05,26,05
45.0,48.0,Phylloscopus nitidus,Green Warbler,0.7207,psm3,2024,05,26,06
96.0,99.0,Phylloscopus humei,Hume's Warbler,0.866,psm3,2024,05,26,06
99.0,102.0,Phylloscopus humei,Hume's Warbler,0.9691,psm3,2024,05,26,06
102.0,105.0,Phylloscopus humei,Hume's Warbler,0.7482,psm3,2024,05,26,06
108.0,111.0,Phylloscopus humei,Hume's Warbler,0.9053,psm3,2024,05,26,06
111.0,114.0,Phylloscopus humei,Hume's Warbler,0.9307,psm3,2024,05,26,06
117.0,120.0,Phylloscopus humei,Hume's Warbler,0.6284,psm3,2024,05,26,06
123.0,126.0,Phylloscopus humei,Hume's Warbler,0.9493,psm3,2024,05,26,06
126.0,129.0,Phylloscopus humei,Hume's Warbler,0.6489,psm3,2024,05,26,06
129.0,132.0,Phylloscopus humei,Hume's Warbler,0.5506,psm3,2024,05,26,06
132.0,135.0,Phylloscopus humei,Hume's Warbler,0.765,psm3,2024,05,26,06
141.0,144.0,Phylloscopus humei,Hume's Warbler,0.6084,psm3,2024,05,26,06
150.0,153.0,Phylloscopus humei,Hume's Warbler,0.9467,psm3,2024,05,26,06
153.0,156.0,Phylloscopus humei,Hume's Warbler,0.8561,psm3,2024,05,26,06
156.0,159.0,Phylloscopus humei,Hume's Warbler,0.6568,psm3,2024,05,26,06
159.0,162.0,Phylloscopus humei,Hume's Warbler,0.9546,psm3,2024,05,26,06
162.0,165.0,Phylloscopus humei,Hume's Warbler,0.9126,psm3,2024,05,26,06
165.0,168.0,Phylloscopus humei,Hume's Warbler,0.9057,psm3,2024,05,26,06
171.0,174.0,Phylloscopus humei,Hume's Warbler,0.8563,psm3,2024,05,26,06
186.0,189.0,Phylloscopus nitidus,Green Warbler,0.5263,psm3,2024,05,26,06
204.0,207.0,Prunella strophiata,Rufous-breasted Accentor,0.9421,psm3,2024,05,26,06
207.0,210.0,Prunella strophiata,Rufous-breasted Accentor,0.5845,psm3,2024,05,26,06
210.0,213.0,Prunella strophiata,Rufous-breasted Accentor,0.9844,psm3,2024,05,26,06
222.0,225.0,Prunella strophiata,Rufous-breasted Accentor,0.7958,psm3,2024,05,26,06
228.0,231.0,Prunella strophiata,Rufous-breasted Accentor,0.936,psm3,2024,05,26,06
270.0,273.0,Prunella strophiata,Rufous-breasted Accentor,0.7741,psm3,2024,05,26,06
