Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Trochalopteron variegatum,Variegated Laughingthrush,0.7465,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240602_050000.WAV
6.0,9.0,Trochalopteron variegatum,Variegated Laughingthrush,0.5854,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240602_050000.WAV
9.0,12.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9282,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240602_050000.WAV
15.0,18.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9712,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240602_050000.WAV
21.0,24.0,Trochalopteron variegatum,Variegated Laughingthrush,0.8984,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240602_050000.WAV
30.0,33.0,Trochalopteron variegatum,Variegated Laughingthrush,0.8610,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240602_050000.WAV
39.0,42.0,Trochalopteron variegatum,Variegated Laughingthrush,0.8652,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240602_050000.WAV
45.0,48.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9141,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240602_050000.WAV
51.0,54.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9675,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240602_050000.WAV
54.0,57.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9384,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240602_050000.WAV
