Start (s),End (s),Scientific name,Common name,Confidence,File Name,Latitude,Longitude,Elevation,Year,Month,Day,Time,Buzz
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9882,XC414415,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9571,XC414415,,,,,,,,
39.0,42.0,Phylloscopus humei,Hume's Warbler,0.9802,XC414415,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9706,XC43659,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9949,XC43659,,,,,,,,
45.0,48.0,Phylloscopus humei,Hume's Warbler,0.9991,XC43659,,,,,,,,
75.0,78.0,Phylloscopus humei,Hume's Warbler,0.9194,XC43659,,,,,,,,
78.0,81.0,Phylloscopus humei,Hume's Warbler,1.0,XC43659,,,,,,,,
84.0,87.0,Phylloscopus humei,Hume's Warbler,0.9739,XC43659,,,,,,,,
87.0,90.0,Phylloscopus humei,Hume's Warbler,0.9728,XC43659,,,,,,,,
102.0,105.0,Phylloscopus humei,Hume's Warbler,0.9237,XC43659,,,,,,,,
9.0,12.0,Carpodacus erythrinus,Common Rosefinch,0.9286,XC811534,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9916,XC808552,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9727,XC808552,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9742,XC808552,,,,,,,,
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.939,XC808552,,,,,,,,
30.0,33.0,Phylloscopus humei,Hume's Warbler,0.9644,XC808552,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.98,XC414416,,,,,,,,
9.0,12.0,Turdus iliacus,Redwing,0.9274,XC414416,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9879,XC414416,,,,,,,,
36.0,39.0,Phylloscopus humei,Hume's Warbler,0.9831,XC414416,,,,,,,,
18.0,21.0,Carpodacus erythrinus,Common Rosefinch,0.978,XC120473,,,,,,,,
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.98,XC120473,,,,,,,,
33.0,36.0,Carpodacus erythrinus,Common Rosefinch,0.9814,XC120473,,,,,,,,
36.0,39.0,Phylloscopus humei,Hume's Warbler,0.9302,XC120473,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9544,XC820841,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9007,XC820841,,,,,,,,
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.9302,XC820841,,,,,,,,
33.0,36.0,Phylloscopus humei,Hume's Warbler,0.9276,XC820841,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9729,XC145217,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9192,XC145217,,,,,,,,
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.9813,XC145217,,,,,,,,
39.0,42.0,Phylloscopus humei,Hume's Warbler,0.9919,XC145217,,,,,,,,
48.0,51.0,Phylloscopus humei,Hume's Warbler,0.9373,XC145217,,,,,,,,
51.0,54.0,Phylloscopus humei,Hume's Warbler,0.9176,XC145217,,,,,,,,
