Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Phylloscopus humei,Hume's Warbler,0.9882,/Users/vanessaprema/Downloads/xeno_canto/Buzz_042_XC414415.mp3
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9571,/Users/vanessaprema/Downloads/xeno_canto/Buzz_042_XC414415.mp3
39.0,42.0,Phylloscopus humei,Hume's Warbler,0.9802,/Users/vanessaprema/Downloads/xeno_canto/Buzz_042_XC414415.mp3
0,3.0,Phylloscopus humei,Hume's Warbler,0.9706,/Users/vanessaprema/Downloads/xeno_canto/Buzz_115_XC43659.mp3
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9949,/Users/vanessaprema/Downloads/xeno_canto/Buzz_115_XC43659.mp3
45.0,48.0,Phylloscopus humei,Hume's Warbler,0.9991,/Users/vanessaprema/Downloads/xeno_canto/Buzz_115_XC43659.mp3
75.0,78.0,Phylloscopus humei,Hume's Warbler,0.9194,/Users/vanessaprema/Downloads/xeno_canto/Buzz_115_XC43659.mp3
78.0,81.0,Phylloscopus humei,Hume's Warbler,1.0000,/Users/vanessaprema/Downloads/xeno_canto/Buzz_115_XC43659.mp3
84.0,87.0,Phylloscopus humei,Hume's Warbler,0.9739,/Users/vanessaprema/Downloads/xeno_canto/Buzz_115_XC43659.mp3
87.0,90.0,Phylloscopus humei,Hume's Warbler,0.9728,/Users/vanessaprema/Downloads/xeno_canto/Buzz_115_XC43659.mp3
102.0,105.0,Phylloscopus humei,Hume's Warbler,0.9237,/Users/vanessaprema/Downloads/xeno_canto/Buzz_115_XC43659.mp3
9.0,12.0,Carpodacus erythrinus,Common Rosefinch,0.9286,/Users/vanessaprema/Downloads/xeno_canto/Buzz_29_XC811534.mp3
0,3.0,Phylloscopus humei,Hume's Warbler,0.9916,/Users/vanessaprema/Downloads/xeno_canto/Buzz_31_XC808552.mp3
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9727,/Users/vanessaprema/Downloads/xeno_canto/Buzz_31_XC808552.mp3
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9742,/Users/vanessaprema/Downloads/xeno_canto/Buzz_31_XC808552.mp3
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.9390,/Users/vanessaprema/Downloads/xeno_canto/Buzz_31_XC808552.mp3
