Start (s),End (s),Common name,Confidence,ID,Month,Day,Time,Latitude,Longitude,Elevation,Habitant,Elevation_type
0.0,3.0,hume's warbler,0.6411,psh10,6,4,6,33.13514,76.463139,3664,1,high
6.0,9.0,hume's warbler,0.8799,psh10,6,4,6,33.13514,76.463139,3664,1,high
12.0,15.0,hume's warbler,0.5355,psh10,6,4,6,33.13514,76.463139,3664,1,high
24.0,27.0,hume's warbler,0.5084,psh10,6,4,6,33.13514,76.463139,3664,1,high
27.0,30.0,hume's warbler,0.8052,psh10,6,4,6,33.13514,76.463139,3664,1,high
39.0,42.0,hume's warbler,0.8985,psh10,6,4,6,33.13514,76.463139,3664,1,high
54.0,57.0,hume's warbler,0.7435,psh10,6,4,6,33.13514,76.463139,3664,1,high
60.0,63.0,hume's warbler,0.8016,psh10,6,4,6,33.13514,76.463139,3664,1,high
69.0,72.0,hume's warbler,0.8453,psh10,6,4,6,33.13514,76.463139,3664,1,high
75.0,78.0,hume's warbler,0.9367,psh10,6,4,6,33.13514,76.463139,3664,1,high
87.0,90.0,hume's warbler,0.7648,psh10,6,4,6,33.13514,76.463139,3664,1,high
93.0,96.0,hume's warbler,0.8793,psh10,6,4,6,33.13514,76.463139,3664,1,high
99.0,102.0,hume's warbler,0.7493,psh10,6,4,6,33.13514,76.463139,3664,1,high
108.0,111.0,hume's warbler,0.6158,psh10,6,4,6,33.13514,76.463139,3664,1,high
123.0,126.0,hume's warbler,0.7587,psh10,6,4,6,33.13514,76.463139,3664,1,high
129.0,132.0,hume's warbler,0.7279,psh10,6,4,6,33.13514,76.463139,3664,1,high
135.0,138.0,hume's warbler,0.9403,psh10,6,4,6,33.13514,76.463139,3664,1,high
141.0,144.0,green warbler,0.8614,psh10,6,4,6,33.13514,76.463139,3664,0,high
141.0,144.0,greenish warbler,0.5751,psh10,6,4,6,33.13514,76.463139,3664,1,high
147.0,150.0,hume's warbler,0.6851,psh10,6,4,6,33.13514,76.463139,3664,1,high
153.0,156.0,hume's warbler,0.887,psh10,6,4,6,33.13514,76.463139,3664,1,high
159.0,162.0,hume's warbler,0.9335,psh10,6,4,6,33.13514,76.463139,3664,1,high
165.0,168.0,hume's warbler,0.8952,psh10,6,4,6,33.13514,76.463139,3664,1,high
174.0,177.0,hume's warbler,0.7286,psh10,6,4,6,33.13514,76.463139,3664,1,high
180.0,183.0,hume's warbler,0.7631,psh10,6,4,6,33.13514,76.463139,3664,1,high
201.0,204.0,hume's warbler,0.7101,psh10,6,4,6,33.13514,76.463139,3664,1,high
204.0,207.0,golden-winged warbler,0.5088,psh10,6,4,6,33.13514,76.463139,3664,0,high
207.0,210.0,hume's warbler,0.5985,psh10,6,4,6,33.13514,76.463139,3664,1,high
213.0,216.0,hume's warbler,0.8448,psh10,6,4,6,33.13514,76.463139,3664,1,high
219.0,222.0,hume's warbler,0.9258,psh10,6,4,6,33.13514,76.463139,3664,1,high
225.0,228.0,hume's warbler,0.8557,psh10,6,4,6,33.13514,76.463139,3664,1,high
231.0,234.0,hume's warbler,0.8494,psh10,6,4,6,33.13514,76.463139,3664,1,high
240.0,243.0,hume's warbler,0.8378,psh10,6,4,6,33.13514,76.463139,3664,1,high
255.0,258.0,hume's warbler,0.8612,psh10,6,4,6,33.13514,76.463139,3664,1,high
258.0,261.0,green warbler,0.8942,psh10,6,4,6,33.13514,76.463139,3664,0,high
261.0,264.0,hume's warbler,0.7196,psh10,6,4,6,33.13514,76.463139,3664,1,high
267.0,270.0,hume's warbler,0.6048,psh10,6,4,6,33.13514,76.463139,3664,1,high
273.0,276.0,hume's warbler,0.9764,psh10,6,4,6,33.13514,76.463139,3664,1,high
282.0,285.0,hume's warbler,0.7243,psh10,6,4,6,33.13514,76.463139,3664,1,high
285.0,288.0,green warbler,0.5087,psh10,6,4,6,33.13514,76.463139,3664,0,high
288.0,291.0,hume's warbler,0.9728,psh10,6,4,6,33.13514,76.463139,3664,1,high
291.0,294.0,greenish warbler,0.6386,psh10,6,4,6,33.13514,76.463139,3664,1,high
297.0,300.0,hume's warbler,0.7926,psh10,6,4,6,33.13514,76.463139,3664,1,high
300.0,303.0,hume's warbler,0.7495,psh10,6,4,6,33.13514,76.463139,3664,1,high
300.0,303.0,redwing,0.7381,psh10,6,4,6,33.13514,76.463139,3664,0,high
306.0,309.0,hume's warbler,0.9188,psh10,6,4,6,33.13514,76.463139,3664,1,high
321.0,324.0,hume's warbler,0.7745,psh10,6,4,6,33.13514,76.463139,3664,1,high
330.0,333.0,hume's warbler,0.9904,psh10,6,4,6,33.13514,76.463139,3664,1,high
342.0,345.0,hume's warbler,0.622,psh10,6,4,6,33.13514,76.463139,3664,1,high
351.0,354.0,hume's warbler,0.9354,psh10,6,4,6,33.13514,76.463139,3664,1,high
351.0,354.0,himalayan bluetail,0.6205,psh10,6,4,6,33.13514,76.463139,3664,1,high
357.0,360.0,hume's warbler,0.9889,psh10,6,4,6,33.13514,76.463139,3664,1,high
357.0,360.0,himalayan bluetail,0.7929,psh10,6,4,6,33.13514,76.463139,3664,1,high
366.0,369.0,himalayan bluetail,0.5954,psh10,6,4,6,33.13514,76.463139,3664,1,high
369.0,372.0,himalayan bluetail,0.6656,psh10,6,4,6,33.13514,76.463139,3664,1,high
372.0,375.0,green warbler,0.7121,psh10,6,4,6,33.13514,76.463139,3664,0,high
378.0,381.0,himalayan bluetail,0.8935,psh10,6,4,6,33.13514,76.463139,3664,1,high
378.0,381.0,hume's warbler,0.6104,psh10,6,4,6,33.13514,76.463139,3664,1,high
384.0,387.0,himalayan bluetail,0.575,psh10,6,4,6,33.13514,76.463139,3664,1,high
387.0,390.0,himalayan bluetail,0.9281,psh10,6,4,6,33.13514,76.463139,3664,1,high
390.0,393.0,himalayan bluetail,0.5907,psh10,6,4,6,33.13514,76.463139,3664,1,high
396.0,399.0,himalayan bluetail,0.6099,psh10,6,4,6,33.13514,76.463139,3664,1,high
399.0,402.0,himalayan bluetail,0.5124,psh10,6,4,6,33.13514,76.463139,3664,1,high
411.0,414.0,himalayan bluetail,0.8589,psh10,6,4,6,33.13514,76.463139,3664,1,high
414.0,417.0,himalayan bluetail,0.9378,psh10,6,4,6,33.13514,76.463139,3664,1,high
414.0,417.0,buff-barred warbler,0.8451,psh10,6,4,6,33.13514,76.463139,3664,1,high
432.0,435.0,himalayan bluetail,0.6196,psh10,6,4,6,33.13514,76.463139,3664,1,high
453.0,456.0,green warbler,0.632,psh10,6,4,6,33.13514,76.463139,3664,0,high
456.0,459.0,himalayan bluetail,0.9689,psh10,6,4,6,33.13514,76.463139,3664,1,high
465.0,468.0,himalayan bluetail,0.6966,psh10,6,4,6,33.13514,76.463139,3664,1,high
465.0,468.0,hume's warbler,0.5305,psh10,6,4,6,33.13514,76.463139,3664,1,high
468.0,471.0,himalayan bluetail,0.6456,psh10,6,4,6,33.13514,76.463139,3664,1,high
471.0,474.0,himalayan bluetail,0.7899,psh10,6,4,6,33.13514,76.463139,3664,1,high
471.0,474.0,hume's warbler,0.692,psh10,6,4,6,33.13514,76.463139,3664,1,high
480.0,483.0,hume's warbler,0.6864,psh10,6,4,6,33.13514,76.463139,3664,1,high
486.0,489.0,hume's warbler,0.9941,psh10,6,4,6,33.13514,76.463139,3664,1,high
486.0,489.0,himalayan bluetail,0.9839,psh10,6,4,6,33.13514,76.463139,3664,1,high
492.0,495.0,himalayan bluetail,0.5289,psh10,6,4,6,33.13514,76.463139,3664,1,high
