Start (s),End (s),Scientific name,Common name,Confidence,ID,Year,Month,Day,Time,Latitude,Longitude,Elevation,Habitant
0,3,phylloscopus humei,hume's warbler,0.6411,psh10,2024,6,4,6,33.13514,76.463139,3664,1
6,9,phylloscopus humei,hume's warbler,0.8799,psh10,2024,6,4,6,33.13514,76.463139,3664,1
12,15,phylloscopus humei,hume's warbler,0.5355,psh10,2024,6,4,6,33.13514,76.463139,3664,1
24,27,phylloscopus humei,hume's warbler,0.5084,psh10,2024,6,4,6,33.13514,76.463139,3664,1
27,30,phylloscopus humei,hume's warbler,0.8052,psh10,2024,6,4,6,33.13514,76.463139,3664,1
39,42,phylloscopus humei,hume's warbler,0.8985,psh10,2024,6,4,6,33.13514,76.463139,3664,1
54,57,phylloscopus humei,hume's warbler,0.7435,psh10,2024,6,4,6,33.13514,76.463139,3664,1
60,63,phylloscopus humei,hume's warbler,0.8016,psh10,2024,6,4,6,33.13514,76.463139,3664,1
69,72,phylloscopus humei,hume's warbler,0.8453,psh10,2024,6,4,6,33.13514,76.463139,3664,1
75,78,phylloscopus humei,hume's warbler,0.9367,psh10,2024,6,4,6,33.13514,76.463139,3664,1
87,90,phylloscopus humei,hume's warbler,0.7648,psh10,2024,6,4,6,33.13514,76.463139,3664,1
93,96,phylloscopus humei,hume's warbler,0.8793,psh10,2024,6,4,6,33.13514,76.463139,3664,1
99,102,phylloscopus humei,hume's warbler,0.7493,psh10,2024,6,4,6,33.13514,76.463139,3664,1
108,111,phylloscopus humei,hume's warbler,0.6158,psh10,2024,6,4,6,33.13514,76.463139,3664,1
123,126,phylloscopus humei,hume's warbler,0.7587,psh10,2024,6,4,6,33.13514,76.463139,3664,1
129,132,phylloscopus humei,hume's warbler,0.7279,psh10,2024,6,4,6,33.13514,76.463139,3664,1
135,138,phylloscopus humei,hume's warbler,0.9403,psh10,2024,6,4,6,33.13514,76.463139,3664,1
141,144,phylloscopus nitidus,green warbler,0.8614,psh10,2024,6,4,6,33.13514,76.463139,3664,0
141,144,phylloscopus trochiloides,greenish warbler,0.5751,psh10,2024,6,4,6,33.13514,76.463139,3664,1
147,150,phylloscopus humei,hume's warbler,0.6851,psh10,2024,6,4,6,33.13514,76.463139,3664,1
153,156,phylloscopus humei,hume's warbler,0.887,psh10,2024,6,4,6,33.13514,76.463139,3664,1
159,162,phylloscopus humei,hume's warbler,0.9335,psh10,2024,6,4,6,33.13514,76.463139,3664,1
165,168,phylloscopus humei,hume's warbler,0.8952,psh10,2024,6,4,6,33.13514,76.463139,3664,1
174,177,phylloscopus humei,hume's warbler,0.7286,psh10,2024,6,4,6,33.13514,76.463139,3664,1
180,183,phylloscopus humei,hume's warbler,0.7631,psh10,2024,6,4,6,33.13514,76.463139,3664,1
201,204,phylloscopus humei,hume's warbler,0.7101,psh10,2024,6,4,6,33.13514,76.463139,3664,1
204,207,vermivora chrysoptera,golden-winged warbler,0.5088,psh10,2024,6,4,6,33.13514,76.463139,3664,0
207,210,phylloscopus humei,hume's warbler,0.5985,psh10,2024,6,4,6,33.13514,76.463139,3664,1
213,216,phylloscopus humei,hume's warbler,0.8448,psh10,2024,6,4,6,33.13514,76.463139,3664,1
219,222,phylloscopus humei,hume's warbler,0.9258,psh10,2024,6,4,6,33.13514,76.463139,3664,1
225,228,phylloscopus humei,hume's warbler,0.8557,psh10,2024,6,4,6,33.13514,76.463139,3664,1
231,234,phylloscopus humei,hume's warbler,0.8494,psh10,2024,6,4,6,33.13514,76.463139,3664,1
240,243,phylloscopus humei,hume's warbler,0.8378,psh10,2024,6,4,6,33.13514,76.463139,3664,1
255,258,phylloscopus humei,hume's warbler,0.8612,psh10,2024,6,4,6,33.13514,76.463139,3664,1
258,261,phylloscopus nitidus,green warbler,0.8942,psh10,2024,6,4,6,33.13514,76.463139,3664,0
261,264,phylloscopus humei,hume's warbler,0.7196,psh10,2024,6,4,6,33.13514,76.463139,3664,1
267,270,phylloscopus humei,hume's warbler,0.6048,psh10,2024,6,4,6,33.13514,76.463139,3664,1
273,276,phylloscopus humei,hume's warbler,0.9764,psh10,2024,6,4,6,33.13514,76.463139,3664,1
282,285,phylloscopus humei,hume's warbler,0.7243,psh10,2024,6,4,6,33.13514,76.463139,3664,1
285,288,phylloscopus nitidus,green warbler,0.5087,psh10,2024,6,4,6,33.13514,76.463139,3664,0
288,291,phylloscopus humei,hume's warbler,0.9728,psh10,2024,6,4,6,33.13514,76.463139,3664,1
291,294,phylloscopus trochiloides,greenish warbler,0.6386,psh10,2024,6,4,6,33.13514,76.463139,3664,1
297,300,phylloscopus humei,hume's warbler,0.7926,psh10,2024,6,4,6,33.13514,76.463139,3664,1
300,303,phylloscopus humei,hume's warbler,0.7495,psh10,2024,6,4,6,33.13514,76.463139,3664,1
300,303,turdus iliacus,redwing,0.7381,psh10,2024,6,4,6,33.13514,76.463139,3664,0
306,309,phylloscopus humei,hume's warbler,0.9188,psh10,2024,6,4,6,33.13514,76.463139,3664,1
321,324,phylloscopus humei,hume's warbler,0.7745,psh10,2024,6,4,6,33.13514,76.463139,3664,1
330,333,phylloscopus humei,hume's warbler,0.9904,psh10,2024,6,4,6,33.13514,76.463139,3664,1
342,345,phylloscopus humei,hume's warbler,0.622,psh10,2024,6,4,6,33.13514,76.463139,3664,1
351,354,phylloscopus humei,hume's warbler,0.9354,psh10,2024,6,4,6,33.13514,76.463139,3664,1
351,354,tarsiger rufilatus,himalayan bluetail,0.6205,psh10,2024,6,4,6,33.13514,76.463139,3664,1
357,360,phylloscopus humei,hume's warbler,0.9889,psh10,2024,6,4,6,33.13514,76.463139,3664,1
357,360,tarsiger rufilatus,himalayan bluetail,0.7929,psh10,2024,6,4,6,33.13514,76.463139,3664,1
366,369,tarsiger rufilatus,himalayan bluetail,0.5954,psh10,2024,6,4,6,33.13514,76.463139,3664,1
369,372,tarsiger rufilatus,himalayan bluetail,0.6656,psh10,2024,6,4,6,33.13514,76.463139,3664,1
372,375,phylloscopus nitidus,green warbler,0.7121,psh10,2024,6,4,6,33.13514,76.463139,3664,0
378,381,tarsiger rufilatus,himalayan bluetail,0.8935,psh10,2024,6,4,6,33.13514,76.463139,3664,1
378,381,phylloscopus humei,hume's warbler,0.6104,psh10,2024,6,4,6,33.13514,76.463139,3664,1
384,387,tarsiger rufilatus,himalayan bluetail,0.575,psh10,2024,6,4,6,33.13514,76.463139,3664,1
387,390,tarsiger rufilatus,himalayan bluetail,0.9281,psh10,2024,6,4,6,33.13514,76.463139,3664,1
390,393,tarsiger rufilatus,himalayan bluetail,0.5907,psh10,2024,6,4,6,33.13514,76.463139,3664,1
396,399,tarsiger rufilatus,himalayan bluetail,0.6099,psh10,2024,6,4,6,33.13514,76.463139,3664,1
399,402,tarsiger rufilatus,himalayan bluetail,0.5124,psh10,2024,6,4,6,33.13514,76.463139,3664,1
411,414,tarsiger rufilatus,himalayan bluetail,0.8589,psh10,2024,6,4,6,33.13514,76.463139,3664,1
414,417,tarsiger rufilatus,himalayan bluetail,0.9378,psh10,2024,6,4,6,33.13514,76.463139,3664,1
414,417,phylloscopus pulcher,buff-barred warbler,0.8451,psh10,2024,6,4,6,33.13514,76.463139,3664,1
432,435,tarsiger rufilatus,himalayan bluetail,0.6196,psh10,2024,6,4,6,33.13514,76.463139,3664,1
453,456,phylloscopus nitidus,green warbler,0.632,psh10,2024,6,4,6,33.13514,76.463139,3664,0
456,459,tarsiger rufilatus,himalayan bluetail,0.9689,psh10,2024,6,4,6,33.13514,76.463139,3664,1
465,468,tarsiger rufilatus,himalayan bluetail,0.6966,psh10,2024,6,4,6,33.13514,76.463139,3664,1
465,468,phylloscopus humei,hume's warbler,0.5305,psh10,2024,6,4,6,33.13514,76.463139,3664,1
468,471,tarsiger rufilatus,himalayan bluetail,0.6456,psh10,2024,6,4,6,33.13514,76.463139,3664,1
471,474,tarsiger rufilatus,himalayan bluetail,0.7899,psh10,2024,6,4,6,33.13514,76.463139,3664,1
471,474,phylloscopus humei,hume's warbler,0.692,psh10,2024,6,4,6,33.13514,76.463139,3664,1
480,483,phylloscopus humei,hume's warbler,0.6864,psh10,2024,6,4,6,33.13514,76.463139,3664,1
486,489,phylloscopus humei,hume's warbler,0.9941,psh10,2024,6,4,6,33.13514,76.463139,3664,1
486,489,tarsiger rufilatus,himalayan bluetail,0.9839,psh10,2024,6,4,6,33.13514,76.463139,3664,1
