,Start (s),End (s),Common name,Confidence,ID,Month,Day,Time,Latitude,Longitude,Elevation,Habitant,Elevation_type,Duration (s)
0,411.0,417.0,himalayan bluetail,0.8589,psh10,6,4,6,33.13514,76.463139,3664,1,high,6.0
1,543.0,549.0,hume's warbler,0.8678,psh10,6,4,6,33.13514,76.463139,3664,1,high,6.0
2,213.0,225.0,buff-barred warbler,0.8405,psh10,6,5,6,33.13514,76.463139,3664,1,high,12.0
3,531.0,537.0,greenish warbler,0.837,psh10,6,6,5,33.13514,76.463139,3664,1,high,6.0
4,432.0,438.0,greenish warbler,0.9591,psh10,6,6,6,33.13514,76.463139,3664,1,high,6.0
5,720.0,726.0,greenish warbler,0.9401,psh10,6,6,6,33.13514,76.463139,3664,1,high,6.0
6,105.0,111.0,buff-barred warbler,0.9538,psh10,6,8,5,33.13514,76.463139,3664,1,high,6.0
7,42.0,51.0,himalayan bluetail,0.8986,psh10,6,9,5,33.13514,76.463139,3664,1,high,9.0
8,204.0,210.0,greenish warbler,0.845,psh10,6,10,6,33.13514,76.463139,3664,1,high,6.0
9,834.0,840.0,variegated laughingthrush,0.9014,psh10,6,10,6,33.13514,76.463139,3664,1,high,6.0
10,882.0,888.0,variegated laughingthrush,0.9447,psh10,6,10,6,33.13514,76.463139,3664,1,high,6.0
11,462.0,480.0,variegated laughingthrush,0.8766,psh10,6,10,7,33.13514,76.463139,3664,1,high,18.0
12,501.0,507.0,variegated laughingthrush,0.891,psh10,6,10,7,33.13514,76.463139,3664,1,high,6.0
13,510.0,519.0,variegated laughingthrush,0.982,psh10,6,10,7,33.13514,76.463139,3664,1,high,9.0
14,555.0,561.0,variegated laughingthrush,0.9808,psh10,6,10,7,33.13514,76.463139,3664,1,high,6.0
15,597.0,603.0,variegated laughingthrush,0.8175,psh10,6,10,7,33.13514,76.463139,3664,1,high,6.0
16,609.0,633.0,variegated laughingthrush,0.9874,psh10,6,10,7,33.13514,76.463139,3664,1,high,24.0
17,54.0,60.0,buff-barred warbler,0.9845,psh10,6,11,5,33.13514,76.463139,3664,1,high,6.0
18,66.0,72.0,buff-barred warbler,0.8867,psh10,6,11,5,33.13514,76.463139,3664,1,high,6.0
19,585.0,591.0,greenish warbler,0.8615,psh10,6,11,5,33.13514,76.463139,3664,1,high,6.0
20,789.0,795.0,buff-barred warbler,0.8225,psh10,7,10,6,33.13514,76.463139,3664,1,high,6.0
21,822.0,828.0,buff-barred warbler,0.8663,psh10,7,10,6,33.13514,76.463139,3664,1,high,6.0
22,129.0,135.0,himalayan bluetail,0.9554,psh10,7,10,7,33.13514,76.463139,3664,1,high,6.0
23,345.0,351.0,himalayan bluetail,0.8127,psh10,7,10,7,33.13514,76.463139,3664,1,high,6.0
24,513.0,519.0,variegated laughingthrush,0.9183,psh10,7,10,7,33.13514,76.463139,3664,1,high,6.0
25,195.0,201.0,tickell's leaf warbler,0.8591,psh10,7,11,6,33.13514,76.463139,3664,1,high,6.0
26,441.0,465.0,hume's warbler,0.8439,psh10,7,11,6,33.13514,76.463139,3664,1,high,24.0
27,813.0,819.0,variegated laughingthrush,0.819,psh1,6,3,5,33.135856,76.45039,3644,1,high,6.0
28,507.0,513.0,greenish warbler,0.8536,psh1,6,3,6,33.135856,76.45039,3644,1,high,6.0
29,6.0,12.0,himalayan bluetail,0.8576,psh2,6,3,6,33.133459,76.450725,3794,1,high,6.0
30,18.0,24.0,himalayan bluetail,0.8624,psh2,6,3,6,33.133459,76.450725,3794,1,high,6.0
31,27.0,36.0,himalayan bluetail,0.9193,psh2,6,3,6,33.133459,76.450725,3794,1,high,9.0
32,759.0,768.0,himalayan bluetail,0.9663,psh2,6,3,6,33.133459,76.450725,3794,1,high,9.0
33,12.0,18.0,himalayan bluetail,0.9736,psh2,6,3,7,33.133459,76.450725,3794,1,high,6.0
34,21.0,27.0,himalayan bluetail,0.872,psh2,6,3,7,33.133459,76.450725,3794,1,high,6.0
35,51.0,57.0,himalayan bluetail,0.9802,psh2,6,3,7,33.133459,76.450725,3794,1,high,6.0
36,60.0,66.0,himalayan bluetail,0.8407,psh2,6,3,7,33.133459,76.450725,3794,1,high,6.0
37,69.0,75.0,himalayan bluetail,0.9971,psh2,6,3,7,33.133459,76.450725,3794,1,high,6.0
38,90.0,96.0,himalayan bluetail,0.8232,psh2,6,3,7,33.133459,76.450725,3794,1,high,6.0
39,120.0,126.0,himalayan bluetail,0.8995,psh2,6,3,7,33.133459,76.450725,3794,1,high,6.0
40,129.0,138.0,himalayan bluetail,0.979,psh2,6,3,7,33.133459,76.450725,3794,1,high,9.0
41,147.0,153.0,himalayan bluetail,0.8798,psh2,6,3,7,33.133459,76.450725,3794,1,high,6.0
42,162.0,168.0,himalayan bluetail,0.9341,psh2,6,3,7,33.133459,76.450725,3794,1,high,6.0
43,231.0,237.0,himalayan bluetail,0.9759,psh2,6,3,7,33.133459,76.450725,3794,1,high,6.0
44,267.0,273.0,himalayan bluetail,0.8261,psh2,6,3,7,33.133459,76.450725,3794,1,high,6.0
45,387.0,393.0,rufous-breasted accentor,0.8527,psh2,6,3,7,33.133459,76.450725,3794,1,high,6.0
46,42.0,48.0,rufous-breasted accentor,0.9083,psh2,6,4,5,33.133459,76.450725,3794,1,high,6.0
47,75.0,81.0,rufous-breasted accentor,0.8247,psh2,6,4,5,33.133459,76.450725,3794,1,high,6.0
48,90.0,96.0,rufous-breasted accentor,0.9899,psh2,6,4,5,33.133459,76.450725,3794,1,high,6.0
49,315.0,321.0,rufous-breasted accentor,0.8939,psh2,6,4,5,33.133459,76.450725,3794,1,high,6.0
50,324.0,330.0,rufous-breasted accentor,0.973,psh2,6,4,5,33.133459,76.450725,3794,1,high,6.0
51,795.0,801.0,himalayan bluetail,0.8563,psh2,6,4,5,33.133459,76.450725,3794,1,high,6.0
52,843.0,849.0,himalayan bluetail,0.9758,psh2,6,4,5,33.133459,76.450725,3794,1,high,6.0
53,414.0,420.0,himalayan bluetail,0.9277,psh2,6,4,6,33.133459,76.450725,3794,1,high,6.0
54,429.0,435.0,himalayan bluetail,0.9966,psh2,6,4,6,33.133459,76.450725,3794,1,high,6.0
55,438.0,444.0,himalayan bluetail,0.9027,psh2,6,4,6,33.133459,76.450725,3794,1,high,6.0
56,876.0,882.0,himalayan bluetail,0.9788,psh2,6,4,6,33.133459,76.450725,3794,1,high,6.0
57,891.0,897.0,himalayan bluetail,0.8988,psh2,6,4,6,33.133459,76.450725,3794,1,high,6.0
58,477.0,483.0,himalayan bluetail,0.8117,psh2,6,4,7,33.133459,76.450725,3794,1,high,6.0
59,528.0,537.0,rufous-breasted accentor,0.9728,psh2,6,4,7,33.133459,76.450725,3794,1,high,9.0
60,555.0,561.0,himalayan bluetail,0.9073,psh2,6,4,7,33.133459,76.450725,3794,1,high,6.0
61,564.0,570.0,himalayan bluetail,0.9027,psh2,6,4,7,33.133459,76.450725,3794,1,high,6.0
62,588.0,594.0,himalayan bluetail,0.9713,psh2,6,4,7,33.133459,76.450725,3794,1,high,6.0
63,606.0,612.0,himalayan bluetail,0.8901,psh2,6,4,7,33.133459,76.450725,3794,1,high,6.0
64,639.0,645.0,himalayan bluetail,0.9142,psh2,6,4,7,33.133459,76.450725,3794,1,high,6.0
65,657.0,663.0,himalayan bluetail,0.9698,psh2,6,4,7,33.133459,76.450725,3794,1,high,6.0
66,666.0,672.0,himalayan bluetail,0.8264,psh2,6,4,7,33.133459,76.450725,3794,1,high,6.0
67,693.0,699.0,himalayan bluetail,0.9232,psh2,6,4,7,33.133459,76.450725,3794,1,high,6.0
68,714.0,720.0,himalayan bluetail,0.94,psh2,6,4,7,33.133459,76.450725,3794,1,high,6.0
69,885.0,894.0,himalayan bluetail,0.9894,psh2,6,5,5,33.133459,76.450725,3794,1,high,9.0
70,9.0,15.0,himalayan bluetail,0.9355,psh2,6,5,6,33.133459,76.450725,3794,1,high,6.0
71,45.0,51.0,himalayan bluetail,0.8173,psh2,6,5,6,33.133459,76.450725,3794,1,high,6.0
72,54.0,63.0,himalayan bluetail,0.9267,psh2,6,5,6,33.133459,76.450725,3794,1,high,9.0
73,66.0,72.0,himalayan bluetail,0.9704,psh2,6,5,6,33.133459,76.450725,3794,1,high,6.0
74,336.0,345.0,himalayan bluetail,0.8858,psh2,6,5,6,33.133459,76.450725,3794,1,high,9.0
75,366.0,375.0,himalayan bluetail,0.9395,psh2,6,5,6,33.133459,76.450725,3794,1,high,9.0
76,378.0,387.0,himalayan bluetail,0.9805,psh2,6,5,6,33.133459,76.450725,3794,1,high,9.0
77,408.0,414.0,himalayan bluetail,0.9822,psh2,6,5,6,33.133459,76.450725,3794,1,high,6.0
78,462.0,468.0,himalayan bluetail,0.8579,psh2,6,5,6,33.133459,76.450725,3794,1,high,6.0
79,852.0,858.0,himalayan bluetail,0.8729,psh2,6,5,6,33.133459,76.450725,3794,1,high,6.0
80,3.0,9.0,himalayan bluetail,0.8521,psh2,6,5,7,33.133459,76.450725,3794,1,high,6.0
81,21.0,27.0,himalayan bluetail,0.9794,psh2,6,5,7,33.133459,76.450725,3794,1,high,6.0
82,78.0,87.0,himalayan bluetail,0.8251,psh2,6,5,7,33.133459,76.450725,3794,1,high,9.0
83,129.0,135.0,himalayan bluetail,0.8895,psh2,6,5,7,33.133459,76.450725,3794,1,high,6.0
84,138.0,147.0,himalayan bluetail,0.8877,psh2,6,5,7,33.133459,76.450725,3794,1,high,9.0
85,159.0,165.0,himalayan bluetail,0.9055,psh2,6,5,7,33.133459,76.450725,3794,1,high,6.0
86,732.0,738.0,himalayan bluetail,0.8399,psh2,6,5,7,33.133459,76.450725,3794,1,high,6.0
87,213.0,219.0,himalayan bluetail,0.9592,psh2,6,6,5,33.133459,76.450725,3794,1,high,6.0
88,222.0,228.0,himalayan bluetail,0.9942,psh2,6,6,5,33.133459,76.450725,3794,1,high,6.0
89,246.0,252.0,variegated laughingthrush,0.9649,psh2,6,6,5,33.133459,76.450725,3794,1,high,6.0
