Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Phylloscopus humei,Hume's Warbler,0.9588,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/bird_audio_2025/audio_input\100303934_000_003.wav
0,3.0,Phylloscopus humei,Hume's Warbler,0.9927,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/bird_audio_2025/audio_input\100303934_003_006.wav
0,3.0,Phylloscopus humei,Hume's Warbler,0.9865,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/bird_audio_2025/audio_input\100303934_006_009.wav
0,3.0,Phylloscopus humei,Hume's Warbler,0.9831,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/bird_audio_2025/audio_input\100303934_009_012.wav
0,3.0,Phylloscopus humei,Hume's Warbler,0.8851,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/bird_audio_2025/audio_input\100971737_000_003.wav
0,3.0,Phylloscopus humei,Hume's Warbler,0.2248,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/bird_audio_2025/audio_input\100971737_003_006.wav
0,3.0,Phylloscopus humei,Hume's Warbler,0.3209,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/bird_audio_2025/audio_input\100971737_009_012.wav
0,3.0,Phylloscopus humei,Hume's Warbler,0.5942,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/bird_audio_2025/audio_input\101454210_000_003.wav
0,3.0,Empidonax hammondii,Hammond's Flycatcher,0.1378,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/bird_audio_2025/audio_input\101454210_000_003.wav
0,3.0,Phylloscopus proregulus,Pallas's Leaf Warbler,0.1361,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/bird_audio_2025/audio_input\101454210_000_003.wav
0,3.0,Phylloscopus humei,Hume's Warbler,0.8410,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/bird_audio_2025/audio_input\101454210_003_006.wav
0,3.0,Phylloscopus humei,Hume's Warbler,0.9785,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/bird_audio_2025/audio_input\104523910_000_003.wav
0,3.0,Phylloscopus humei,Hume's Warbler,0.9649,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/bird_audio_2025/audio_input\104523910_003_006.wav
0,3.0,Phylloscopus humei,Hume's Warbler,0.8252,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/bird_audio_2025/audio_input\104523910_006_009.wav
0,3.0,Phylloscopus humei,Hume's Warbler,0.8144,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/bird_audio_2025/audio_input\104523910_2_000_003.wav
0,3.0,Phylloscopus humei,Hume's Warbler,0.9515,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/bird_audio_2025/audio_input\104523910_2_003_006.wav
